#ra		   dec			psfMag_u	psfMag_g	psfMag_r	psfMag_i	psfMag_z	psfMagErr_u		psfMagErr_g		psfMagErr_r		psfMagErr_i		psfMagErr_z
83.80802045	-0.65220707		19.63967	18.07965	17.48643	17.23931	17.12544	0.03941793		0.01029774		0.009971187		0.009282825		0.01481211
83.82019739	-0.6464503		20.03132	17.99734	17.10012	16.72921	16.5365		0.04928116		0.01018648		0.009688037		0.008879257		0.01282385
83.81421434	-0.6426337		20.90689	18.946		18.02776	17.64081	17.45158	0.09084759		0.01229372		0.01063403		0.009796918		0.0166742
83.8212637	-0.63539729		19.39266	17.91503	17.32215	17.06096	16.86203	0.04043609		0.009990361		0.01080873		0.009286653		0.01562605
83.81370084	-0.62723631		20.17605	18.01373	17.07623	16.68049	16.39497	0.0456953		0.01164553		0.01139907		0.01243531		0.01457578
83.81988493	-0.62735412		19.65208	18.3279		17.68441	17.44922	17.26121	0.03655739		0.01198637		0.01180251		0.0128789		0.01661808
83.78779785	-0.59117505		20.5965		17.96674	16.61926	15.80293	15.3157		0.06278823		0.01383911		0.009246745		0.008741728		0.01224241
83.80271461	-0.60696949		16.67193	15.22969	15.038		15.03284	15.00894	0.02155899		0.01066505		0.01099207		0.01214188		0.01360797
83.82034629	-0.60577911		20.07852	18.24312	17.36434	17.02259	16.73365	0.04588067		0.01188901		0.01155533		0.0125845		0.01514711	
83.8291679	-0.60869586		20.11496	17.60321	16.52202	16.10409	15.80696	0.04678607		0.01128018		0.01118918		0.01227407		0.01399419
