1.24	1.96E+03	6.32E+01	4.76E-12	1.53E-13
1.66	2.27E+03	9.20E+01	4.09E-12	1.66E-13
2.16	1.86E+03	8.37E+01	2.58E-12	1.16E-13
3.4	1.02E+03	2.53E+01	8.98E-13	2.23E-14
3.6	1.04E+03	4.91E+00	8.68E-13	4.08E-15
4.5	7.47E+02	5.13E+00	4.97E-13	3.42E-15
4.6	6.89E+02	2.09E+01	4.49E-13	1.36E-14
5.8	4.17E+02	1.53E+01	2.15E-13	7.91E-15
8.8	2.81E+02	1.81E+01	9.57E-14	6.16E-15
12	3.22E+02	0.00E+00	8.03E-14	0.00E+00
22	2.02E+03	0.00E+00	2.76E-13	0.00E+00
24      1.10E+03        0.0             0.0             0.0
